id,title,year,language,Nb_authors,Nb_male,Nb_female,theme,keywords,title_clean
1,#Idéo2017 : une plateforme citoyenne dédiée à l'analyse des tweets lors des événements politiques,2018,fr,5,5,5,Analyse de Graphes,pas encore,plateform citoyen dédier analyse tweet événement politique
3,ALGeoSPF: Un modèle de factorisation basé sur du clustering géographique pour la recommandation de POI,2018,fr,4,4,4,Analyse de Graphes,pas encore,algeospf modèle factorisation baser clustering géographique recommandation poi
4,Analyse des sentiments à partir des commentaires Facebook publiés en Arabe standard ou dialectal marocain par une approche d'apprentissage automatique,2018,fr,4,4,4,Analyse de Graphes,pas encore,analyse sentiment partir commentaire facebook publier arabe standard dialectal marocain approche apprentissage automatique
5,Analyse en rôles sémantiques pour le résumé automatique,2018,fr,4,4,4,Analyse de Graphes,pas encore,analyse rôle sémantique résumé automatique
6,Analyse Ontologique de scénario dans un contexte Big Data,2018,fr,3,3,3,Analyse de Graphes,pas encore,analyse ontologique scénario contexte big data
7,Apport de la fouille de données pour la prévention du risque suicidaire,2018,fr,8,8,8,Entrepôts de Données,pas encore,apport fouille donnée prévention risque suicidaire
8,Apport des modèles locaux pour les K-moyennes prédictives,2018,fr,2,2,2,Analyse de Graphes,pas encore,apport modèle local k moyen prédictif
9,Apprendre les relations de préférence et de co-occurrence entre les labels en classification multi-labels,2018,fr,3,3,3,Classification & Clustering,pas encore,apprendre relation préférence entrer label classification
10,Approche contextuelle par régression pour les tests A/B,2018,fr,3,3,3,Analyse de Graphes,pas encore,approche contextuel régression test b
12,Cartes Auto-Organisatrices Incrémentales appliquées au Clustering Collaboratif,2018,fr,3,3,3,Analyse de Graphes,pas encore,cartes incrémentales appliquer clustering collaboratif
13,Catégorisation d'articles scientifiques basée sur les relations sémantiques des mots-clés,2018,fr,4,4,4,Analyse de Graphes,pas encore,catégorisation article scientifique baser relation sémantique
14,Classification de Données Complexes par Globalisation de Mesures de Similarité via les Moyennes Quasi-Arithmétiques,2018,fr,2,2,2,Classification & Clustering,pas encore,classification donnée complexe globalisation mesure similarité moyenne
16,Comparaison de mesures de centralité basées sur les plus courts chemins dans les réseaux dynamiques,2018,fr,3,3,3,Analyse de Graphes,pas encore,comparaison mesure centralité baser court chemin réseau dynamique
17,Complémentarités de représentations vectorielles pour la similarité sémantique,2018,fr,6,6,6,Analyse de Graphes,pas encore,complémentarité représentation vectoriel similarité sémantique
18,Contextualisation de Singularités en Temps-Réel par Extraction de Connaissances du Web des Données,2018,fr,4,4,4,Ingénierie des Données,pas encore,contextualisation singularité temps réel extraction connaissance web donnée
