id,title,year,language,Nb_authors,title_clean,cluster,theme
0,#Idéo2017 : une plateforme citoyenne dédiée à l'analyse des tweets lors des événements politiques,2018,fr,5,plateform citoyen dédier analyse tweet événement politique,4,Apprentissage automatique et réseaux de connaissances
2,ALGeoSPF: Un modèle de factorisation basé sur du clustering géographique pour la recommandation de POI,2018,fr,4,algeospf modèle factorisation baser clustering géographique recommandation poi,4,Apprentissage automatique et réseaux de connaissances
3,Analyse des sentiments à partir des commentaires Facebook publiés en Arabe standard ou dialectal marocain par une approche d'apprentissage automatique,2018,fr,4,analyse sentiment partir commentaire facebook publier arabe standard dialectal marocain approche apprentissage automatique,4,Apprentissage automatique et réseaux de connaissances
4,Analyse en rôles sémantiques pour le résumé automatique,2018,fr,4,analyse rôle sémantique résumé automatique,4,Apprentissage automatique et réseaux de connaissances
5,Analyse Ontologique de scénario dans un contexte Big Data,2018,fr,3,analyse ontologique scénario contexte big dater,4,Apprentissage automatique et réseaux de connaissances
6,Apport de la fouille de données pour la prévention du risque suicidaire,2018,fr,8,apport fouille donnée prévention risque suicidaire,3,Data mining et gestion de flux de données
7,Apport des modèles locaux pour les K-moyennes prédictives,2018,fr,2,apport modèle local k moyenne prédictif,4,Apprentissage automatique et réseaux de connaissances
8,Apprendre les relations de préférence et de co-occurrence entre les labels en classification multi-labels,2018,fr,3,apprendre relation préférence entrer label classification,4,Apprentissage automatique et réseaux de connaissances
9,Approche contextuelle par régression pour les tests A/B,2018,fr,3,approche contextuel régression test b,4,Apprentissage automatique et réseaux de connaissances
11,Cartes Auto-Organisatrices Incrémentales appliquées au Clustering Collaboratif,2018,fr,3,cartes incrémentales appliquer clustering collaboratif,4,Apprentissage automatique et réseaux de connaissances
12,Catégorisation d'articles scientifiques basée sur les relations sémantiques des mots-clés,2018,fr,4,catégorisation article scientifique baser relation sémantique,4,Apprentissage automatique et réseaux de connaissances
13,Classification de Données Complexes par Globalisation de Mesures de Similarité via les Moyennes Quasi-Arithmétiques,2018,fr,2,classification donnée complexe globalisation mesure similarité moyennes,3,Data mining et gestion de flux de données
15,Comparaison de mesures de centralité basées sur les plus courts chemins dans les réseaux dynamiques,2018,fr,3,comparaison mesure centralité baser court chemin réseau dynamique,4,Apprentissage automatique et réseaux de connaissances
16,Complémentarités de représentations vectorielles pour la similarité sémantique,2018,fr,6,complémentarité représentation vectoriel similarité sémantique,4,Apprentissage automatique et réseaux de connaissances
17,Contextualisation de Singularités en Temps-Réel par Extraction de Connaissances du Web des Données,2018,fr,4,contextualisation singularités temps réel extraction connaissance web donnée,9,Extraction d’information et analyse documentaire web
18,Contraintes prescriptives compatibles avec OWL2-ER pour évaluer la complétude d'ontologies,2018,fr,2,contrainte prescriptive compatible évaluer complétude ontologie,0,Ontologies et traitement sémantique du texte
19,Contribution à l'étude de la distributivité d'un treillis de concepts,2018,fr,4,contribution étude distributivité treillis concept,4,Apprentissage automatique et réseaux de connaissances
20,Découverte de motifs graduels partiellement ordonnés : application aux données d'expériences scientifiques,2018,fr,3,découverte motif graduel partiellement ordonner application donnée expérience scientifique,1,Analyse de motifs et séquences dans les données
21,Définir les catégories de DBpédia avec des règles d'associations et des redescriptions,2018,fr,5,définir catégorie dbpédia règle association redescription,6,Règles d’association et génération de connaissances
22,Détection de Singularités en temps-réel par combinaison d'apprentissage automatique et web sémantique basés sur Spark,2018,fr,4,détection singularités temps réel combinaison apprentissage automatique web sémantique baser spark,9,Extraction d’information et analyse documentaire web
23,Echantillonnage de motifs séquentiels sous contrainte sur la norme,2018,fr,5,echantillonnage motif séquentiel sou contraindre norme,1,Analyse de motifs et séquences dans les données
24,eDOI : exploration itérative de grands graphes multi-couches basée sur une mesure de l'intérêt de l'utilisateur,2018,fr,4,edoi exploration itératif grand graphe baser mesure intérêt utilisateur,4,Apprentissage automatique et réseaux de connaissances
25,Elaboration et utilisation d'une base de connaissances d'un domaine technique.,2018,fr,2,elaboration utilisation base connaissance domaine technique,4,Apprentissage automatique et réseaux de connaissances
26,Élimination des liens inter-langues erronés dans Wikipédia,2018,fr,5,élimination lien erroner wikipédia,4,Apprentissage automatique et réseaux de connaissances
27,Et si les réseaux sociaux pouvaient nous aider dans nos choix de carrière?,2018,fr,5,réseau social pouvoir aider choix carrière,4,Apprentissage automatique et réseaux de connaissances
28,Étiquetage thématique automatisé de corpus par représentation sémantique,2018,fr,5,étiquetage thématique automatiser corpus représentation sémantique,4,Apprentissage automatique et réseaux de connaissances
29,Évaluation comparative d'algorithmes de centralité pour la détection d'influenceurs,2018,fr,3,évaluation comparatif algorithme centralité détection influenceur,4,Apprentissage automatique et réseaux de connaissances
30,Exploration et analyses multi-objectifs de séries temporelles de données météorologiques,2018,fr,3,exploration analyse série temporel donnée météorologique,5,Analyse de séries temporelles et données spatio-temporelles
31,Extraction de chaînes cohérentes en vue de reconstuire la Trajectoire de l'information,2018,fr,4,extraction chaîne cohérent vue reconstuire trajectoire information,9,Extraction d’information et analyse documentaire web
32,Extraction de connaissances sur les défaillances de compteurs d'essieux,2018,fr,3,extraction connaissance défaillance compteur essieu,9,Extraction d’information et analyse documentaire web
33,Fouille de Motifs Graduels Fermés Fréquents Sous Contrainte de la Temporalité,2018,fr,5,fouille motif graduels fermés fréquent sou contrainte temporalité,1,Analyse de motifs et séquences dans les données
34,Fouille de motifs temporels négatifs,2018,fr,5,fouille motif temporel négatif,5,Analyse de séries temporelles et données spatio-temporelles
35,Interrogation de données structurellement hétérogènes dans les bases de données orientées documents,2018,fr,4,interrogation donnée structurellement hétérogène base donnée orienter document,3,Data mining et gestion de flux de données
36,KTI-MOOC: un système de recommandation pour la personnalisation du processus d'échange d'informations dans les MOOCs,2018,fr,2,kti mooc système recommandation personnalisation processus échange information mooc,4,Apprentissage automatique et réseaux de connaissances
37,L'exploitation de données contextuelles pour la recommandation d'hôtels,2018,fr,3,exploitation donnée contextuel recommandation hôtel,3,Data mining et gestion de flux de données
38,L'ontologie OntoBiotope pour l'étude de la biodiversité microbienne,2018,fr,7,ontologie ontobiotope étude biodiversité microbien,0,Ontologies et traitement sémantique du texte
40,Mainmise sur les médias et suivi de communautés dans les graphes dynamiques,2018,fr,3,mainmise média communauté graphe dynamique,4,Apprentissage automatique et réseaux de connaissances
42,Méta-analyse ordinale d'enquêtes d'opinion Application aux usages de l'Internet des objets en entreprise,2018,fr,4,ordinal enquête opinion application usage internet objet entreprise,4,Apprentissage automatique et réseaux de connaissances
43,Méthode basée sur les ensembles approximatifs pour l'apprentissage incrémental en présence des données déséquilibrées,2018,fr,2,méthode baser ensemble approximatif apprentissage incrémental présence donnée déséquilibrer,3,Data mining et gestion de flux de données
44,Méthode d'Apprentissage pour Extraire les Localisations dans les MicroBlogs,2018,fr,2,méthode apprentissage extraire localisation microblog,4,Apprentissage automatique et réseaux de connaissances
45,Modélisation des métadonnées d'un data lake en data vault,2018,fr,3,modélisation métadonnée data lak dater vault,4,Apprentissage automatique et réseaux de connaissances
46,NFB: protocole de Notarisation des Documents dans la Blockchain,2018,fr,3,nfb protocole notarisation document blockchain,9,Extraction d’information et analyse documentaire web
47,Nouveau Modèle de Sélection de Caractéristiques basé sur la Théorie des Ensembles Approximatifs pour les Données Massives,2018,fr,4,modèle sélection caractéristiques baser théorie ensemble approximatif donnée massives,3,Data mining et gestion de flux de données
48,PALM: Un algorithme parallèle pour extraire des clusters de liens dans les réseaux sociaux,2018,fr,3,palm algorithme parallèle extraire cluster lien réseau social,4,Apprentissage automatique et réseaux de connaissances
49,Peerus Review: Un outil de recherche d'experts scientifiques,2018,fr,5,peerus review outil recherche expert scientifique,8,Recherche d’information et traitement d’images
50,PerForecast : un outil de prévision de l'évolution de séries temporelles pour le planning capacitaire,2018,fr,5,perforecast outil prévision évolution série temporel planning capacitaire,5,Analyse de séries temporelles et données spatio-temporelles
51,Prédiction du Rayonnement Solaire par Apprentissage Automatique,2018,fr,3,prédiction rayonnement solaire apprentissage automatique,4,Apprentissage automatique et réseaux de connaissances
52,Prétraitement de données spatialement imprécises pour une classification supervisée basée sur les images satellitaires,2018,fr,6,prétraitement donnée spatialement imprécis classification superviser baser image satellitaire,3,Data mining et gestion de flux de données
53,Prise en compte de la structure des documents pour une indexation performante,2018,fr,2,prise compte structure document indexation performant,9,Extraction d’information et analyse documentaire web
54,Propositions pour améliorer une méthode de prédiction du succès d'une campagne de financement participatif,2018,fr,2,proposition améliorer méthode prédiction succès campagne financement participatif,4,Apprentissage automatique et réseaux de connaissances
55,Qu'est-ce qu'un bon système d'apprentissage ? La réponse a évolué avec le temps. Et demain?,2018,fr,1,bon système apprentissage réponse évoluer temps demain,4,Apprentissage automatique et réseaux de connaissances
57,Reconnaissance et indexation automatique des registres de la chancellerie française (1300-1483),2018,fr,1,reconnaissance indexation automatique registre chancellerie français,4,Apprentissage automatique et réseaux de connaissances
59,Régression Laplacienne semi-supervisée pour la reconstitution des dates de pose des réseaux d'assainissement,2018,fr,3,régression laplacienne reconstitution date pose réseau assainissement,4,Apprentissage automatique et réseaux de connaissances
60,Réseau bayésien pour la gestion de l'obsolescence dans une base d'informations en vue de l'évaluation du risque de chute des personnes âgées,2018,fr,4,réseau bayésien gestion obsolescence base information vue évaluation risque chute âgé,4,Apprentissage automatique et réseaux de connaissances
61,Savoir au dela de voir: vision artificielle et raisonnement logique,2018,fr,3,savoir dela voir vision artificiel raisonnement logique,4,Apprentissage automatique et réseaux de connaissances
62,Sémantique des données d'observation en neuro-imagerie selon un point de vue réaliste,2018,fr,2,sémantique donnée observation point vue réaliste,3,Data mining et gestion de flux de données
64,Un modèle Bayésien de co-clustering de données mixtes,2018,fr,4,modèle bayésien donnée mixte,3,Data mining et gestion de flux de données
65,Une approche sémantique hybride pour la recommandation des articles d'actualité à large échelle,2018,fr,3,approche sémantique hybride recommandation article actualité large échell,4,Apprentissage automatique et réseaux de connaissances
66,Une méthode pour l'estimation désagrégée de données de population à l'aide de données ouvertes,2018,fr,3,méthode estimation désagréger donnée population aide donnée,2,Aide à la décision et analyse multidimensionnelle
67,UNITEX/GRAMLAB: plateforme libre basée sur des lexiques et des grammaires pour le traitement des corpus textuels,2018,fr,3,unitex gramlab plateform libre baser lexique grammaire traitement corpus textuel,4,Apprentissage automatique et réseaux de connaissances
68,Universal-endpoint.com : une plateforme d'accès simple au Web des Données,2018,fr,3,plateforme accès simple web donnée,3,Data mining et gestion de flux de données
69,Utilisation de techniques de modélisation thématiques pour la détection de nouveauté dans des flux de données textuelles.,2018,fr,3,utilisation technique modélisation thématique détection nouveauté flux donnée textuel,3,Data mining et gestion de flux de données
70,Visualisation dynamique de connaissances : application aux interactions entre facteurs de risque des maladies cardiovasculaires,2018,fr,3,visualisation dynamique connaissance application interaction entrer facteur risque maladie cardiovasculaire,7,Visualisation et exploration interactive de données
72,Analyse des dynamiques spatio-temporelles à partir de séries temporelles d'images satellitaires,2017,fr,3,analyse dynamique spatio temporel partir série temporel image satellitaire,5,Analyse de séries temporelles et données spatio-temporelles
