,title,year,language,Nb_authors
0,#Idéo2017 : une plateforme citoyenne dédiée à l'analyse des tweets lors des événements politiques,2018,fr,5
1,A two level co-clustering algorithm for very large data sets,2018,en,3
2,ALGeoSPF: Un modèle de factorisation basé sur du clustering géographique pour la recommandation de POI,2018,fr,4
3,Analyse des sentiments à partir des commentaires Facebook publiés en Arabe standard ou dialectal marocain par une approche d'apprentissage automatique,2018,fr,4
4,Analyse en rôles sémantiques pour le résumé automatique,2018,fr,4
5,Analyse Ontologique de scénario dans un contexte Big Data,2018,fr,3
6,Apport de la fouille de données pour la prévention du risque suicidaire,2018,fr,8
7,Apport des modèles locaux pour les K-moyennes prédictives,2018,fr,2
8,Apprendre les relations de préférence et de co-occurrence entre les labels en classification multi-labels,2018,fr,3
9,Approche contextuelle par régression pour les tests A/B,2018,fr,3
10,Big Data for understanding human dynamics: the power of networks,2018,en,1
11,Cartes Auto-Organisatrices Incrémentales appliquées au Clustering Collaboratif,2018,fr,3
12,Catégorisation d'articles scientifiques basée sur les relations sémantiques des mots-clés,2018,fr,4
13,Classification de Données Complexes par Globalisation de Mesures de Similarité via les Moyennes Quasi-Arithmétiques,2018,fr,2
14,Community structure in complex networks,2018,en,1
15,Comparaison de mesures de centralité basées sur les plus courts chemins dans les réseaux dynamiques,2018,fr,3
16,Complémentarités de représentations vectorielles pour la similarité sémantique,2018,fr,6
17,Contextualisation de Singularités en Temps-Réel par Extraction de Connaissances du Web des Données,2018,fr,4
18,Contraintes prescriptives compatibles avec OWL2-ER pour évaluer la complétude d'ontologies,2018,fr,2
19,Contribution à l'étude de la distributivité d'un treillis de concepts,2018,fr,4
20,Découverte de motifs graduels partiellement ordonnés : application aux données d'expériences scientifiques,2018,fr,3
21,Définir les catégories de DBpédia avec des règles d'associations et des redescriptions,2018,fr,5
22,Détection de Singularités en temps-réel par combinaison d'apprentissage automatique et web sémantique basés sur Spark,2018,fr,4
23,Echantillonnage de motifs séquentiels sous contrainte sur la norme,2018,fr,5
24,eDOI : exploration itérative de grands graphes multi-couches basée sur une mesure de l'intérêt de l'utilisateur,2018,fr,4
25,Elaboration et utilisation d'une base de connaissances d'un domaine technique.,2018,fr,2
26,Élimination des liens inter-langues erronés dans Wikipédia,2018,fr,5
27,Et si les réseaux sociaux pouvaient nous aider dans nos choix de carrière?,2018,fr,5
28,Étiquetage thématique automatisé de corpus par représentation sémantique,2018,fr,5
29,Évaluation comparative d'algorithmes de centralité pour la détection d'influenceurs,2018,fr,3
30,Exploration et analyses multi-objectifs de séries temporelles de données météorologiques,2018,fr,3
31,Extraction de chaînes cohérentes en vue de reconstuire la Trajectoire de l'information,2018,fr,4
32,Extraction de connaissances sur les défaillances de compteurs d'essieux,2018,fr,3
33,Fouille de Motifs Graduels Fermés Fréquents Sous Contrainte de la Temporalité,2018,fr,5
34,Fouille de motifs temporels négatifs,2018,fr,5
35,Interrogation de données structurellement hétérogènes dans les bases de données orientées documents,2018,fr,4
36,KTI-MOOC: un système de recommandation pour la personnalisation du processus d'échange d'informations dans les MOOCs,2018,fr,2
37,L'exploitation de données contextuelles pour la recommandation d'hôtels,2018,fr,3
38,L'ontologie OntoBiotope pour l'étude de la biodiversité microbienne,2018,fr,7
39,Long-range influences in (social) networks,2018,en,1
40,Mainmise sur les médias et suivi de communautés dans les graphes dynamiques,2018,fr,3
41,Mean-shift : Clustering scalable et distribué,2018,en,4
42,Méta-analyse ordinale d'enquêtes d'opinion Application aux usages de l'Internet des objets en entreprise,2018,fr,4
43,Méthode basée sur les ensembles approximatifs pour l'apprentissage incrémental en présence des données déséquilibrées,2018,fr,2
44,Méthode d'Apprentissage pour Extraire les Localisations dans les MicroBlogs,2018,fr,2
45,Modélisation des métadonnées d'un data lake en data vault,2018,fr,3
46,NFB: protocole de Notarisation des Documents dans la Blockchain,2018,fr,3
47,Nouveau Modèle de Sélection de Caractéristiques basé sur la Théorie des Ensembles Approximatifs pour les Données Massives,2018,fr,4
48,PALM: Un algorithme parallèle pour extraire des clusters de liens dans les réseaux sociaux,2018,fr,3
49,Peerus Review: Un outil de recherche d'experts scientifiques,2018,fr,5
50,PerForecast : un outil de prévision de l'évolution de séries temporelles pour le planning capacitaire,2018,fr,5
51,Prédiction du Rayonnement Solaire par Apprentissage Automatique,2018,fr,3
52,Prétraitement de données spatialement imprécises pour une classification supervisée basée sur les images satellitaires,2018,fr,6
53,Prise en compte de la structure des documents pour une indexation performante,2018,fr,2
54,Propositions pour améliorer une méthode de prédiction du succès d'une campagne de financement participatif,2018,fr,2
55,Qu'est-ce qu'un bon système d'apprentissage ? La réponse a évolué avec le temps. Et demain?,2018,fr,1
56,Recommendation-based Keyword Search over Relational Databases,2018,en,3
57,Reconnaissance et indexation automatique des registres de la chancellerie française (1300-1483),2018,fr,1
58,Reframing for Non-Linear Dataset Shift,2018,en,4
59,Régression Laplacienne semi-supervisée pour la reconstitution des dates de pose des réseaux d'assainissement,2018,fr,3
60,Réseau bayésien pour la gestion de l'obsolescence dans une base d'informations en vue de l'évaluation du risque de chute des personnes âgées,2018,fr,4
61,Savoir au dela de voir: vision artificielle et raisonnement logique,2018,fr,3
62,Sémantique des données d'observation en neuro-imagerie selon un point de vue réaliste,2018,fr,2
