id_article,title,year,language,Nb_authors,Nb_male,Nb_female,theme
1,#Idéo2017 : une plateforme citoyenne dédiée à l'analyse des tweets lors des événements politiques,2018,fr,5,4,1,Apprentissage automatique et réseaux de connaissances
2,A two level co-clustering algorithm for very large data sets,2018,en,3,3,0,Analyse de motifs et séquences dans les données
3,ALGeoSPF: Un modèle de factorisation basé sur du clustering géographique pour la recommandation de POI,2018,fr,4,4,0,Apprentissage automatique et réseaux de connaissances
4,Analyse des sentiments à partir des commentaires Facebook publiés en Arabe standard ou dialectal marocain par une approche d'apprentissage automatique,2018,fr,4,3,1,Apprentissage automatique et réseaux de connaissances
5,Analyse en rôles sémantiques pour le résumé automatique,2018,fr,4,2,2,Apprentissage automatique et réseaux de connaissances
6,Analyse Ontologique de scénario dans un contexte Big Data,2018,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
7,Apport de la fouille de données pour la prévention du risque suicidaire,2018,fr,8,8,0,Analyse de motifs et séquences dans les données
8,Apport des modèles locaux pour les K-moyennes prédictives,2018,fr,2,1,1,Apprentissage automatique et réseaux de connaissances
9,Apprendre les relations de préférence et de co-occurrence entre les labels en classification multi-labels,2018,fr,3,3,0,Recherche d’information et traitement d’images
10,Approche contextuelle par régression pour les tests A/B,2018,fr,3,1,2,Apprentissage automatique et réseaux de connaissances
11,Big Data for understanding human dynamics: the power of networks,2018,en,1,0,1,Data mining et gestion de flux de données
12,Cartes Auto-Organisatrices Incrémentales appliquées au Clustering Collaboratif,2018,fr,3,3,0,Apprentissage automatique et réseaux de connaissances
13,Catégorisation d'articles scientifiques basée sur les relations sémantiques des mots-clés,2018,fr,4,4,0,Apprentissage automatique et réseaux de connaissances
14,Classification de Données Complexes par Globalisation de Mesures de Similarité via les Moyennes Quasi-Arithmétiques,2018,fr,2,1,1,Recherche d’information et traitement d’images
15,Community structure in complex networks,2018,en,1,1,0,Data mining et gestion de flux de données
16,Comparaison de mesures de centralité basées sur les plus courts chemins dans les réseaux dynamiques,2018,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
17,Complémentarités de représentations vectorielles pour la similarité sémantique,2018,fr,6,5,1,Apprentissage automatique et réseaux de connaissances
18,Contextualisation de Singularités en Temps-Réel par Extraction de Connaissances du Web des Données,2018,fr,4,4,0,Règles d’association et génération de connaissances
19,Contraintes prescriptives compatibles avec OWL2-ER pour évaluer la complétude d'ontologies,2018,fr,2,2,0,Ontologies et traitement sémantique du texte
20,Contribution à l'étude de la distributivité d'un treillis de concepts,2018,fr,4,4,0,Apprentissage automatique et réseaux de connaissances
21,Découverte de motifs graduels partiellement ordonnés : application aux données d'expériences scientifiques,2018,fr,3,1,2,Aide à la décision et analyse multidimensionnelle
22,Définir les catégories de DBpédia avec des règles d'associations et des redescriptions,2018,fr,5,2,3,Data mining et gestion de flux de données
23,Détection de Singularités en temps-réel par combinaison d'apprentissage automatique et web sémantique basés sur Spark,2018,fr,4,4,0,Extraction d’information et analyse documentaire web
24,Echantillonnage de motifs séquentiels sous contrainte sur la norme,2018,fr,5,4,0,Aide à la décision et analyse multidimensionnelle
25,eDOI : exploration itérative de grands graphes multi-couches basée sur une mesure de l'intérêt de l'utilisateur,2018,fr,4,4,0,Apprentissage automatique et réseaux de connaissances
26,Elaboration et utilisation d'une base de connaissances d'un domaine technique.,2018,fr,2,2,0,Règles d’association et génération de connaissances
27,Élimination des liens inter-langues erronés dans Wikipédia,2018,fr,5,2,3,Apprentissage automatique et réseaux de connaissances
28,Et si les réseaux sociaux pouvaient nous aider dans nos choix de carrière?,2018,fr,5,5,0,Apprentissage automatique et réseaux de connaissances
29,Étiquetage thématique automatisé de corpus par représentation sémantique,2018,fr,5,4,1,Apprentissage automatique et réseaux de connaissances
30,Évaluation comparative d'algorithmes de centralité pour la détection d'influenceurs,2018,fr,3,2,1,Apprentissage automatique et réseaux de connaissances
