name,id_author,gender
Claudia Marinica,1,female
Julien Longhi,2,male
Nader Hassine,3,male
Abdulhafiz Alkhouli,4,male
Boris Borzic,5,male
Marius Barctus,6,male
Marc Boullé,7,male
Fabrice Clérot,8,male
Jean-Benoît Griesner,9,male
Talel Abdesssalem,10,male
Hubert Naacke,11,male
Pierre Dosne,12,male
Abdeljalil Elouardighi,13,male
Mohcine Maghfour,14,male
Hafdalla Hammia,15,male
Fatima-Zahra Aazi,16,female
Elyase Lassouli,17,male
Yasmine Mesbahi,18,female
Camille Pradel,19,female
Damien Sileo,20,male
Marwan Batrouni,21,male
Aurélie Bertaux,22,female
Christophe Nicolle,23,male
Romain Billot,24,male
Sofian Berrouiguet,25,male
Mark Larsen,26,male
Michel Walter,27,male
Jorge López Castroman,28,male
Enrique Baca-García,29,male
Philippe Courtet,30,male
Philippe Lenca,31,male
Vincent Lemaire,32,male
Oumaima Alaoui Ismaili,33,female
Khalil Laghmari,34,male
Christophe Marsala,35,male
Mohammed Ramdani,36,male
Emmanuelle Claeys,37,female
Pierre Gançarski,38,male
Myriam Maumy-Bertrand,39,female
Fosca Giannotti,40,female
Denis Maurel,41,male
Jérémie Sublime,42,male
Sylvain Lefebvre,43,male
Bastien Latard,44,male
Jonathan Weber,45,male
Germain Forestier,46,male
Michel Hassenforder,47,male
Étienne-Cuvelier,48,male
Marie-Aude-Aufaure,49,female
Santo Fortunato,50,male
Marwan Ghanem,51,male
Clémence Magnien,52,female
Fabien Tarissan,53,male
Julien Hay,54,male
Tim Van de Cruys,55,male
Philippe Muller,56,male
Bich-Liên Doan,57,female
Fabrice Popineau,58,male
Lyes Benamsili,59,male
Badre Belabbess,60,male
Jérémy Lhez,61,male
Musab Bairat,62,male
Olivier Curé,63,male
Philippe Martin,64,male
Jun Jo,65,male
Alain Gély,66,male
Miguel Couceiro,67,male
Yassine Namir,68,male
Amedeo Napoli,69,male
Simon Ser,70,male
Fatiha Saïs,71,female
Maguelonne Teisseire,72,female
Justine Reynaud,73,female
Esther Galbrun,74,female
Mehwish Alam,75,female
Yannick Toussaint,76,male
Lamine Diop,77,male
Cheikh Talibouya Diop,78,male
Arnaud Giacometti,79,male
Dominique Li,80,Non indicatif
Arnaud Soulet,81,male
Antoine Laumond,82,male
Norbert Feron,83,male
Guy Melançon,84,male
Bruno Pinaud,85,male
Nicolas Faure,86,male
René-Michel Faure,87,male
Nacéra Bennacer Seghouani,88,female
Francesca Bugiotti,89,female
Jorge Galicia,90,male
Mariana Patricio,91,female
Gianluca Quercini,92,male
Rémy Kessler,93,male
Guy Lapalme,94,male
Fabrizio Gotti,95,male
Abdessamad Outerqiss,96,male
Philippe Langlais,97,male
Lucie Martinet,98,female
Hussein T. Al-Natsheh,99,male
Fabien Rico,100,male
Fabrice Muhlenbach,101,male
Djamel A. Zighed,102,male
Kévin Deturck,103,male
Damien Nouvel,104,male
Frédérique Segond,105,female
Yelen Per,106,male
Kevin Dalleau,107,male
Malika Smail-Tabbone,108,female
Charles Huyghues-Despointes,109,male
Leila Khouas,110,female
Julien Velcin,111,male
Sabine Loudcher,112,female
Iwo Doboszewski,113,male
Simon Fossier,114,male
Jerry Lonlac,115,male
Benjamin Négrevergne,116,male
Yannick Miras,117,male
Aude Beauger,118,female
Engelbert Mephu Nguifo,119,male
Katerina Tsesmeli,120,female
Manel Boumghar,121,male
Thomas Guyet,122,male
Rene Quiniou,123,male
Laurent Pierre,124,male
Hamdi Ben Hamadou,125,male
Faiza Ghozzi,126,female
André Péninou,127,male
Olivier Teste,128,male
Sarra Bouzayane,129,female
Inès Saad,130,female
Marie Al Ghossein,131,female
Talel Abdessalem,132,male
Anthony Barré,133,male
Claire Nédellec,134,female
Estelle Chaix,135,female
Robert Bossy,136,male
Louise Deléger,137,female
Sandra Dérozier,138,female
Jean-Baptiste Bohuon,139,male
Valentin Loux,140,male
Ernesto Estrada,141,male
Haolin Ren,142,male
Marie-Luce Viaud,143,female
Gaël Beck,144,male
Hanane Azzag,145,female
Mustapha Lebbah,146,male
Tarn Duong,147,male
Rostand Affogbolo,148,male
Claire Gauzente,149,female
Alain Guénoche,150,male
Pascale Kuntz,151,female
Thi-Bich-Ngoc Hoang,152,female
Josiane Mothe,153,female
Iuri D. Nogueira,154,male
Maram Romdhane,155,female
Jérôme Darmont,156,male
Haikel Megrahi,157,male
Nouha Omrane,158,female
Rakia Jaziri,159,female
Zaineb Chelly Dagdia,160,female
Christine Zarges,161,female
Erick Stattner,162,male
Reynald Eugenie,163,male
Martine Collard,164,female
Robin Brochier,165,male
Adrien Guille,166,male
Benjamin Rothan,167,male
François Di Cioccio,168,male
Colin Leverger,169,male
Régis Marguerie,170,male
Simon Malinowski,171,male
Pierrick Bruneau,172,male
Philippe Pinheiro,173,male
Yoann Didry,174,male
Jannaï Tokotoko,175,male
Frédéric Flouvat,176,male
Claire Goiran,177,female
Laetitia Hédouin,178,female
Antoine Collin,179,male
Nazha Selmaoui-Folcher,180,female
Pascal Cuxac,181,male
Nicolas Kieffer,182,male
Alexandre Blansché,183,male
Xavier Mazur,184,male
Antoine Cornuéjols,185,male
Haithem Ghorbel,186,male
Nouha Othman,187,female
Rim Faiz,188,female
Christopher Kermorvant,189,male
Md Shadman Rafid,190,male
Mohammad Mazedul Islam,191,male
Md Naimul Hoque,192,male
Chowdhury Farhan Ahmed,193,male
Vivien Kraus,194,female
Khalid Benabdeslem,195,male
Frederic Cherqui,196,male
Salma Chaieb,197,female
Véronique Delcroix,198,female
Ali Ben Mrad,199,male
Emmanuelle Grislin-Le Strugeon,200,female
Roberto Marroquin,201,male
Julien Dubois,202,male
Emna Amdouni,203,female
Bernard Gibaud,204,male
Gamze Saygi,205,female
Jean-Yves Blaise,206,male
Iwona Dudek,207,female
Aichetou Bouchareb,208,female
Fabrice Rossi,209,male
Hemza Ficel,210,male
Mohamed Ramzi Haddad,211,male
Hajer Baazaoui Zghal,212,female
Luciano Gervasoni,213,male
Serge Fenet,214,male
Peter Sturm,215,male
Tita Kyriacopoulou,216,female
Claude Martineau,217,male
Cristian Martinez,218,male
Thomas Raimbault,219,male
Abdellah Sabry,220,male
Sonia Djebali,221,female
Clément Christophe,222,male
Rabia Azzi,223,female
Sylvie Desprès,224,female
Jérôme Nobécourt,225,male
Ioannis Partalas,226,male
Cédric Lopez,227,male
Pierre-Alain Avouac,228,male
Matthieu Osmuk,229,male
Domoina Rabarijaona,230,female
Dana Popovici,231,female
Lynda Khiali,232,female
Dino Ienco,233,male
Nicolas Médoc,234,male
Mohammad Ghoniem,235,male
Mohamed Nadif,236,male
Françoise Fessant,237,female
Tarek Benkhelif,238,male
Pierre-René Lhérisson,239,male
Pierre Maret,240,male
Gaëtan Caillaut,241,male
Guillaume Cleuziou,242,male
Oussama Ahmia,243,male
Nicolas Béchet,244,male
Pierre-François Marteau,245,male
Roland Kotto-Kombi,246,male
Nicolas Lumineau,247,male
Phillipe Lamarre,248,male
William Raynaut,249,male
Chantal Soulé-Dupuy,250,female
Nathalie Vallès-Parlangeau,251,female
Julien Ah-Pine,252,male
Xinyu Wang,253,female
François Meunier,254,male
Laurent Castanié,255,male
Bruno Conche,256,male
Ayoub Karine,257,male
Abdelmalek Toumi,258,male
Ali Khenchaf,259,male
Mohammed El Hassouni,260,male
Florent Domenach,261,male
George Portides,262,male
Hubert Wassner,263,male
Guillaume Bosc,264,male
Jean-François Boulicaut,265,male
Chedy Raïssi,266,male
Mehdi Kaytoue,267,male
Freddy Lécué,268,male
Vincent Levorato,269,male
Michel Lutz,270,male
Matthieu Lagacherie,271,male
Moditha Hewasinghage,272,male
Suela Isaj,273,female
Cédric Maigrot,274,male
Vincent Claveau,275,male
Ewa Kijak,276,female
Wen Zhang,277,Non indicatif
Raja Chiky,278,male
Manuel Pozo,279,male
Jérémy Vizzini,280,male
Cyril Labbé,281,male
François Portet,282,male
Anne Toulet,283,female
Emmanuel Roux,284,male
Anne-Elisabeth Laques,285,female
Eric Delaître,286,male
Laurent Demagistri,287,male
Isabelle Mougenot,288,female
Yann Dauxais,289,male
David Gross-Amblard,290,male
André Happe,291,male
Elena Cabrio,292,female
Zhi Cheng,293,Non indicatif
Benjamin Hervy,294,male
Matthieu Quantin,295,male
Pierre Teissier,296,male
Harold Vilmart,297,male
Jean-Claude Léon,298,male
Federico Ulliana,299,male
Adrien Dufraux,300,male
Benjamin Renoust,301,male
Shin’Ichi Satoh,302,male
Olivier Parisot,303,male
Thomas Tamisier,304,male
Maxime Lefrançois,305,male
Antoine Zimmermann,306,male
Noorani Bakerally,307,male
Brieuc Conan-Guez,308,male
Lydia Boudjeloud-Assala,309,female
Mohamed Guendouz,310,male
Abdelmalek Amine,311,male
Reda Mohamed Hamou,312,female
Claudia d’Amato,313,female
Benjamin Costé,314,male
Cyril Ray,315,male
Gouenou Coatrieux,316,male
Hippolyte Léger,317,male
Dominique Bouthinon,318,Non indicatif
Mohamed Boussahoua,319,male
Omar Boussaid,320,male
Damien Leprovost,321,male
Marie-Christine Jaulent,322,female
Oana Andrei,323,female
Maribel Fernández,324,female
Hélène Kirchner,325,female
Jason Vallet,326,male
Dylan Da Conceicao,327,male
Dylan Koby,328,male
Jérémy Roos,329,male
Stéphane Bonnevay,330,male
Gérald Gavin,331,male
Adnan El Moussawi,332,male
Philippe De Guis,333,male
Nicolas Labroche,334,male
Gildas Tagny Ngompé,335,male
Sébastien Harispe,336,male
Guillaume Zambrano,337,male
Jacky Montmain,338,male
Stéphane Mussard,339,male
Olfa Allani,340,female
Nedra Mellouli,341,female
Hajer Baazaoui,342,female
Herman Akdag,343,male
Sènami C Fréjus Ahomagnon,344,male
Nicolas Voisine,345,male
Ibrahim Louhi,346,male
Andrés Troya-Galvis,347,male
Laure Berti-Equille,348,female
Oualid Benyahia,349,male
Christine Largeron,350,female
Baptiste Jeudy,351,male
Osmar R. Zaïane,352,male
Marie Pailloux,353,female
Jean-Luc Peiry,354,male
